gene_symbol,mean_normal,mean_tumor,std_normal,std_tumor,log2FC,pvalue,n_samples,padj
CEP55,4.93,7.8,0.88,0.78,0.66,6.08e-13,25,4.51e-11
CHL1,4.17,2.64,0.6,0.52,-0.659,9.61e-09,25,1.25e-07
PLCE1,6.75,4.27,0.8,0.68,-0.659,2.68e-10,25,6.01e-09
STC2,2.67,4.22,0.23,1.2,0.658,1.30e-06,25,8.81e-06
PCSK2,4.34,2.75,0.82,0.19,-0.658,8.83e-09,25,1.16e-07
URB2,2.94,4.63,0.25,0.51,0.657,1.64e-15,25,6.86e-13
CCL19,6.06,3.84,1.99,0.74,-0.657,9.77e-05,25,3.96e-04
TMCC3,7.74,4.91,1.06,1.03,-0.657,1.16e-09,25,2.04e-08
HMGCS2,10.15,6.44,1.74,2.63,-0.657,6.07e-05,25,2.59e-04
SLC26A2,11.57,7.35,1.34,1.29,-0.656,2.26e-09,25,3.57e-08
ASPA,3.76,2.38,0.66,0.24,-0.656,4.60e-09,25,6.57e-08
PCK1,7.33,4.65,1.14,1.36,-0.655,1.06e-08,25,1.37e-07
PTPRR,6.8,4.32,1.27,1.17,-0.654,1.30e-06,25,8.83e-06
BMP7,3.21,5.05,0.35,1.73,0.653,1.12e-05,25,5.81e-05
NR3C1,6.27,3.99,0.58,0.95,-0.652,9.32e-10,25,1.70e-08
NOTUM,2.25,3.53,0.15,1.77,0.651,0.0023,25,0.0063
ABCA8,4.03,2.56,0.31,0.2,-0.651,4.35e-15,25,1.26e-12
CNGA1,4.46,2.84,1.12,0.48,-0.651,1.70e-06,25,1.11e-05
ADAMTSL3,3.99,2.54,1.56,0.51,-0.651,4.12e-04,25,0.0014
TPX2,5.72,8.97,0.94,0.76,0.651,1.07e-14,25,2.55e-12
GPM6B,4.07,2.59,1.19,0.25,-0.65,1.46e-05,25,7.37e-05
ZFPM2,4.35,2.77,0.91,0.68,-0.65,4.46e-06,25,2.60e-05
CCDC138,2.76,4.34,0.31,0.62,0.65,1.29e-11,25,4.90e-10
LRRC66,5.34,3.41,1.22,1.02,-0.649,3.16e-05,25,1.46e-04
GGTA1,5.64,3.6,0.98,0.75,-0.649,8.13e-08,25,7.93e-07
SYNM,6.44,4.11,2.05,0.74,-0.649,3.20e-05,25,1.47e-04
NKD1,2.85,4.47,0.28,1.13,0.648,1.44e-06,25,9.64e-06
MMP12,5.12,8.02,1.48,2.25,0.648,1.16e-04,25,4.60e-04
NBLA00301,3.52,2.25,1.99,0.32,-0.647,0.0060,25,0.0146
GPT,4.47,2.86,0.8,0.17,-0.646,8.55e-10,25,1.58e-08
ZMAT1,4.78,3.06,0.69,0.91,-0.645,4.51e-09,25,6.46e-08
CXCL6,2.48,3.87,0.34,1.57,0.645,2.83e-04,25,0.0010
NOP2,3.38,5.29,0.24,0.49,0.644,3.94e-16,25,2.67e-13
BEND5,3.64,2.33,1.15,0.3,-0.644,5.35e-05,25,2.32e-04
ZNF415,5.29,3.38,0.81,0.9,-0.644,8.23e-08,25,8.02e-07
GDPD5,3.28,5.12,0.34,1.3,0.643,8.53e-07,25,6.18e-06
IGF2BP3,2.55,3.99,0.2,1.71,0.643,3.42e-04,25,0.0012
C20orf134,2.87,4.48,0.28,0.64,0.643,1.69e-10,25,4.07e-09
ACADS,7.11,4.56,0.83,0.64,-0.642,1.59e-10,25,3.85e-09
LRCH2,3.81,2.44,1.44,0.36,-0.641,2.44e-04,25,8.80e-04
ORC6L,4.42,6.89,0.67,0.59,0.641,5.23e-13,25,4.11e-11
BCAS1,6.77,4.34,1.16,1.03,-0.641,5.17e-07,25,4.00e-06
FAM107A,4.66,2.99,0.54,0.3,-0.639,7.71e-12,25,3.27e-10
CASP5,5.03,3.23,1.38,0.82,-0.638,1.19e-05,25,6.12e-05
BEX4,7.72,4.96,0.98,1.68,-0.638,6.69e-07,25,5.01e-06
SLCO4A1,3.58,5.57,0.25,0.56,0.638,2.05e-16,25,1.80e-13
UNC93A,2.19,3.41,0.32,1.36,0.638,2.86e-04,25,0.0010
MUC2,8.12,5.22,1.72,2.73,-0.638,5.69e-04,25,0.0019
NR1H4,4.74,3.05,1.49,0.41,-0.637,2.67e-05,25,1.25e-04
C9orf140 /// LOC729983,4.28,6.66,0.68,0.79,0.637,3.09e-11,25,1.00e-09
HS6ST2,2.74,4.25,0.15,1.1,0.636,6.01e-07,25,4.56e-06
GNG4,3.86,6.0,0.45,1.92,0.636,6.69e-05,25,2.83e-04
CPA3,7.5,4.83,1.28,1.64,-0.636,1.19e-05,25,6.13e-05
CKMT2,3.35,5.21,0.88,2.44,0.636,0.0013,25,0.0039
CCL24,3.35,5.2,0.64,1.49,0.633,5.38e-06,25,3.07e-05
ITM2A,8.14,5.25,0.77,1.24,-0.633,2.27e-09,25,3.59e-08
NEK2,3.19,4.94,0.36,0.51,0.632,1.08e-14,25,2.55e-12
SLCO1B3,2.2,3.42,0.17,1.17,0.632,2.92e-05,25,1.36e-04
NR0B2,2.98,4.62,0.29,0.99,0.631,2.29e-07,25,1.97e-06
CDHR5,7.58,4.89,1.29,0.88,-0.631,1.66e-07,25,1.49e-06
HELLS,3.22,4.99,0.4,0.79,0.631,4.85e-10,25,9.83e-09
GALNT6,3.69,5.71,0.52,1.03,0.631,6.68e-09,25,9.11e-08
PLEKHG4,3.15,4.87,0.39,0.97,0.63,2.49e-08,25,2.86e-07
CHRDL1,4.47,2.89,0.83,0.34,-0.63,1.98e-08,25,2.35e-07
SGK2,5.9,3.81,1.3,0.81,-0.63,2.97e-06,25,1.82e-05
UGT1A1 /// UGT1A10 /// UGT1A4 /// UGT1A6,6.6,4.27,1.24,0.97,-0.629,3.19e-07,25,2.64e-06
MEIS1,5.08,3.28,1.27,0.73,-0.629,8.12e-06,25,4.39e-05
CAP2,4.2,2.71,1.99,0.51,-0.629,0.0017,25,0.0047
JAM2,4.62,2.99,0.69,0.51,-0.628,3.99e-09,25,5.80e-08
GOLT1A,3.8,5.88,1.06,0.96,0.628,3.55e-07,25,2.88e-06
USP2,4.16,2.69,0.71,0.28,-0.628,1.49e-09,25,2.53e-08
FAM55B,5.65,3.66,1.16,1.28,-0.627,2.13e-05,25,1.02e-04
SLC7A11,3.53,5.45,0.38,1.08,0.627,5.14e-09,25,7.23e-08
PPBP,2.54,3.93,0.86,2.83,0.627,0.0121,25,0.0270
FGL2,8.07,5.23,0.69,1.14,-0.625,5.43e-10,25,1.09e-08
CDC6,4.76,7.33,0.66,0.61,0.625,6.76e-13,25,4.92e-11
CKAP2,3.76,5.8,0.31,0.57,0.625,1.86e-15,25,7.43e-13
SLC25A34,5.22,3.39,0.89,0.31,-0.624,6.56e-10,25,1.27e-08
FAM111B,3.49,5.38,0.58,0.72,0.623,1.37e-10,25,3.41e-09
METTL7A,7.92,5.15,0.33,0.89,-0.622,1.95e-12,25,1.12e-10
ERP27,3.12,4.81,0.62,1.85,0.622,3.64e-04,25,0.0013
ADAMDEC1,6.97,4.53,1.75,1.29,-0.622,3.49e-05,25,1.59e-04
EBF1,5.46,3.55,1.05,0.6,-0.622,1.62e-07,25,1.46e-06
DUSP27,2.23,3.42,0.26,2.25,0.622,0.0153,25,0.0332
ASPM,4.53,6.97,0.85,0.78,0.621,3.19e-11,25,1.03e-09
RNASEH2A,4.47,6.86,0.51,0.63,0.62,9.07e-16,25,4.43e-13
S100B,5.04,3.28,1.56,0.48,-0.619,6.13e-05,25,2.62e-04
PRKCB,4.65,3.03,0.95,0.43,-0.618,2.54e-07,25,2.16e-06
UBE2C,6.38,9.79,1.16,0.75,0.617,5.99e-13,25,4.48e-11
FBXO32,7.8,5.08,1.17,1.1,-0.617,5.38e-08,25,5.52e-07
BDKRB1,4.86,3.17,0.72,0.33,-0.617,6.26e-11,25,1.79e-09
MND1,4.25,6.52,0.73,0.84,0.616,6.29e-11,25,1.79e-09
FOXD1,2.56,3.93,0.18,1.68,0.616,8.54e-04,25,0.0026
C17orf96,3.01,4.6,0.21,0.68,0.614,1.43e-10,25,3.52e-09
SLCO2A1,4.99,3.26,0.62,0.39,-0.614,5.86e-10,25,1.16e-08
FJX1,2.9,4.43,0.35,0.97,0.614,3.55e-07,25,2.88e-06
PHLDA1,4.75,7.26,0.64,0.72,0.613,5.49e-12,25,2.51e-10
AOC3,4.79,3.13,1.07,0.64,-0.613,3.02e-06,25,1.84e-05
PTX3,4.27,2.79,1.04,0.43,-0.613,5.49e-07,25,4.22e-06
CDH19,3.43,2.24,0.79,0.23,-0.613,8.34e-07,25,6.07e-06
MEX3A,2.99,4.58,0.17,0.94,0.613,9.58e-09,25,1.25e-07
MPP6,2.6,3.98,0.28,0.91,0.612,3.31e-07,25,2.71e-06
NUF2,3.94,6.01,0.54,0.85,0.611,3.29e-10,25,7.09e-09
FIGF,4.2,2.75,1.04,0.21,-0.61,7.10e-07,25,5.27e-06
GTF2IRD1,4.57,6.97,0.41,0.69,0.61,8.21e-14,25,1.05e-11
C17orf91,6.73,4.41,0.43,0.52,-0.61,3.27e-16,25,2.42e-13
XDH,7.81,5.12,1.51,1.15,-0.61,1.04e-06,25,7.31e-06
DNER,3.56,2.34,1.01,0.15,-0.61,5.90e-06,25,3.32e-05
DSC3,2.15,3.29,0.12,1.77,0.609,0.0050,25,0.0124
MAL,5.25,3.44,1.29,0.22,-0.609,3.51e-07,25,2.86e-06
TNFRSF12A,4.95,7.55,0.6,0.61,0.609,3.34e-12,25,1.70e-10
AKAP12,6.76,4.43,1.65,1.31,-0.609,9.60e-05,25,3.90e-04
FOXA2,3.65,5.57,0.9,0.76,0.608,3.38e-08,25,3.71e-07
CCDC144A /// CCDC144B /// CCDC144C /// LOC100134159,3.61,2.37,0.74,0.25,-0.608,7.74e-08,25,7.60e-07
C2orf15,2.43,3.7,0.25,0.53,0.608,1.49e-11,25,5.53e-10
RBPMS2,4.87,3.19,1.33,0.42,-0.608,6.47e-06,25,3.60e-05
CHEK1,4.03,6.14,0.45,0.7,0.608,4.40e-14,25,6.58e-12
RNF182,2.38,3.62,0.29,1.99,0.608,0.0068,25,0.0163
SNORA18 /// TAF1D,3.5,5.33,0.35,0.87,0.608,1.42e-10,25,3.51e-09
MAB21L2,5.25,3.44,1.91,0.46,-0.607,1.57e-04,25,6.01e-04
TNS4,3.34,5.08,0.28,1.27,0.607,1.13e-06,25,7.82e-06
SLIT2,5.59,3.67,1.13,1.16,-0.607,7.72e-06,25,4.20e-05
C4orf7,5.43,3.57,2.23,0.64,-0.606,0.0012,25,0.0037
NDN,6.68,4.39,0.99,1.45,-0.606,3.73e-07,25,3.00e-06
CLIC6,4.04,2.66,1.0,0.65,-0.606,9.84e-06,25,5.19e-05
NRXN1,3.73,2.45,0.68,0.13,-0.606,4.54e-09,25,6.49e-08
COL9A3,3.78,5.75,0.47,2.01,0.605,1.83e-04,25,6.86e-04
SERTAD4,5.53,3.64,1.32,0.96,-0.604,2.37e-05,25,1.13e-04
HIST3H2A,3.01,4.58,0.31,0.96,0.604,6.03e-08,25,6.10e-07
FOXM1,2.92,4.44,0.33,0.72,0.604,7.85e-11,25,2.16e-09
SLC16A9,5.44,3.58,0.9,0.6,-0.604,1.04e-08,25,1.34e-07
RYR3,3.38,2.22,1.45,0.21,-0.603,8.32e-04,25,0.0026
GINS2,4.08,6.19,0.88,0.63,0.603,1.63e-11,25,5.95e-10
SFTA2,2.3,3.5,0.19,1.21,0.603,9.35e-05,25,3.81e-04
SLC22A3,2.88,4.37,0.54,0.95,0.603,1.02e-06,25,7.19e-06
ANKRD20A1 /// ANKRD20A2 /// ANKRD20A3 /// ANKRD20A4,3.6,2.37,0.89,0.3,-0.602,7.61e-07,25,5.58e-06
KIF2C,4.05,6.15,0.6,0.73,0.601,2.72e-13,25,2.54e-11
MUC4,5.8,3.83,0.76,1.23,-0.601,1.91e-06,25,1.24e-05
DAO,3.48,2.29,1.01,0.2,-0.601,8.69e-06,25,4.65e-05
ARL14,8.76,5.78,1.5,1.3,-0.6,8.69e-07,25,6.26e-06
PLAC8,9.03,5.96,1.3,1.45,-0.6,1.12e-07,25,1.06e-06
MPZ,3.6,2.38,0.95,0.2,-0.6,3.31e-06,25,2.01e-05
IGJ,9.39,6.2,1.92,2.39,-0.6,1.74e-04,25,6.57e-04
C20orf20,4.02,6.1,0.28,0.71,0.6,3.98e-13,25,3.38e-11
C1QTNF7,3.73,2.46,0.84,0.36,-0.6,1.16e-06,25,7.99e-06
CLDN5,6.76,4.46,0.87,0.72,-0.6,6.67e-10,25,1.29e-08
GHR,5.26,3.48,0.77,0.98,-0.599,6.85e-08,25,6.84e-07
C1orf135,2.92,4.42,0.24,0.38,0.598,5.47e-16,25,3.05e-13
EFEMP1,8.25,5.45,1.23,1.85,-0.598,6.07e-06,25,3.40e-05
KIF4A,2.84,4.3,0.39,0.64,0.598,1.07e-09,25,1.91e-08
TSPAN7,7.62,5.03,0.52,0.83,-0.598,9.83e-12,25,3.99e-10
DTL,4.16,6.3,0.65,0.7,0.597,4.36e-11,25,1.33e-09
IL1R2,6.94,4.59,1.35,1.22,-0.596,5.28e-06,25,3.01e-05
FKBP1B,5.66,3.74,0.75,0.79,-0.596,1.95e-09,25,3.16e-08
CMAH,4.2,2.78,0.44,0.45,-0.596,2.48e-12,25,1.34e-10
KRTAP13-2,3.2,2.12,1.33,0.1,-0.595,5.34e-04,25,0.0018
KCNMA1,4.96,3.29,1.16,0.68,-0.594,7.85e-06,25,4.27e-05
RTN1,4.94,3.27,1.21,0.43,-0.594,2.29e-06,25,1.45e-05
PRELP,4.98,3.3,1.3,0.54,-0.593,1.97e-05,25,9.55e-05
SPARCL1,9.33,6.19,1.56,1.58,-0.593,1.47e-06,25,9.84e-06
SIGLEC1,4.21,2.79,0.7,0.44,-0.593,5.30e-08,25,5.44e-07
NAP1L3,3.85,2.55,1.35,0.61,-0.592,5.93e-04,25,0.0019
BAI3,3.37,2.23,1.23,0.13,-0.592,1.67e-04,25,6.32e-04
CDC25B,4.03,6.07,0.16,0.83,0.591,2.21e-11,25,7.62e-10
PIWIL1,2.16,3.25,0.15,1.35,0.591,6.07e-04,25,0.0020
CCDC85A,3.37,2.24,0.91,0.26,-0.59,2.96e-06,25,1.82e-05
RHBDL2,7.01,4.66,1.17,1.21,-0.589,6.19e-07,25,4.67e-06
MCM10,3.29,4.94,0.3,0.61,0.589,3.06e-13,25,2.71e-11
FAM64A,4.0,6.01,0.67,0.79,0.588,5.26e-11,25,1.54e-09
ATAD2,4.67,7.02,0.48,0.63,0.588,3.05e-14,25,5.23e-12
SYNC,4.55,3.03,0.66,0.5,-0.587,1.63e-08,25,1.99e-07
KIF4A /// KIF4B,4.7,7.05,0.78,0.77,0.587,3.53e-12,25,1.77e-10
CCDC68,6.92,4.61,1.11,0.72,-0.587,4.98e-08,25,5.15e-07
TAC1,6.12,4.08,1.91,2.32,-0.586,0.0016,25,0.0045
PDK4,6.28,4.19,0.81,0.68,-0.586,5.64e-09,25,7.84e-08
TACR2,4.38,2.92,2.31,0.79,-0.586,0.0074,25,0.0175
CLDN23,9.77,6.51,1.58,1.0,-0.586,1.54e-08,25,1.90e-07
PTGIS,4.44,2.96,0.8,0.78,-0.584,6.15e-06,25,3.44e-05
NPY1R,4.31,2.87,0.51,0.46,-0.584,1.98e-09,25,3.20e-08
ADRB2,5.16,3.44,0.61,0.62,-0.583,1.12e-09,25,1.98e-08
THRB,4.92,3.28,0.37,0.51,-0.583,9.16e-13,25,6.22e-11
SGK1,8.84,5.9,1.25,0.86,-0.583,5.34e-10,25,1.07e-08
UCA1,3.99,5.97,1.36,2.12,0.583,1.46e-04,25,5.62e-04
SLITRK6,4.86,3.24,0.82,1.8,-0.583,7.80e-04,25,0.0024
SNHG1,2.88,4.31,0.27,0.68,0.582,3.48e-09,25,5.15e-08
FAM150A,2.47,3.69,0.32,1.06,0.582,5.28e-06,25,3.01e-05
ASB2,5.09,3.4,1.52,0.47,-0.581,4.84e-05,25,2.12e-04
SPON1,5.5,3.67,0.76,1.22,-0.581,3.31e-06,25,2.01e-05
LOC401093,4.54,3.03,1.18,0.42,-0.581,7.68e-06,25,4.18e-05
MS4A1,4.21,2.82,1.77,0.5,-0.581,0.0014,25,0.0041
SHISA3,4.67,3.12,0.9,0.61,-0.58,2.11e-06,25,1.35e-05
TPSAB1 /// TPSB2,6.11,4.09,0.89,1.08,-0.58,5.82e-07,25,4.43e-06
UNC5CL,3.34,4.98,0.28,1.0,0.579,2.46e-08,25,2.82e-07
KLK10,2.52,3.77,0.19,1.16,0.579,2.65e-05,25,1.24e-04
TRPM2,3.3,4.93,0.21,0.6,0.579,6.85e-12,25,2.98e-10
ARMCX1,6.44,4.31,1.36,1.08,-0.579,2.49e-05,25,1.18e-04
CLU,5.57,3.73,0.87,0.72,-0.578,5.44e-08,25,5.56e-07
SLC7A5,3.51,5.24,0.23,0.47,0.578,1.00e-15,25,4.66e-13
TMEM72,4.16,2.79,0.65,0.36,-0.578,9.53e-09,25,1.25e-07
ADIPOQ,4.12,2.76,1.28,0.16,-0.578,4.26e-05,25,1.90e-04
SGOL2,3.41,5.08,0.41,0.57,0.578,4.66e-13,25,3.81e-11
PDCD2L,4.49,6.69,0.69,0.65,0.577,2.20e-13,25,2.11e-11
SMPX,4.03,2.71,2.88,1.12,-0.577,0.0323,25,0.0637
CDC25C,3.39,5.05,0.5,0.71,0.577,4.32e-10,25,8.94e-09
C9orf140,5.16,7.69,0.9,0.81,0.577,6.68e-11,25,1.88e-09
KRT12,3.53,2.37,0.79,0.18,-0.575,1.10e-06,25,7.61e-06
FAP,3.02,4.5,0.82,1.67,0.575,8.71e-04,25,0.0027
PCDH20,5.79,3.89,1.05,1.34,-0.575,4.08e-05,25,1.82e-04
WDR78,4.47,3.0,0.71,0.33,-0.574,1.77e-09,25,2.90e-08
DLEU2 /// DLEU2L,4.29,6.39,0.56,1.15,0.574,2.00e-09,25,3.23e-08
DDR2,5.56,3.74,1.49,0.99,-0.574,1.43e-04,25,5.52e-04
FOXD3,3.39,2.28,1.03,0.21,-0.574,1.55e-05,25,7.75e-05
B3GNT7,5.29,3.56,1.07,0.76,-0.574,1.24e-06,25,8.47e-06
PBK,4.12,6.14,0.84,0.8,0.574,8.24e-10,25,1.53e-08
C2,3.59,5.34,0.33,0.62,0.574,1.02e-11,25,4.07e-10
DACT3,5.91,3.97,1.8,0.81,-0.573,1.54e-04,25,5.92e-04
FAM129A,6.83,4.59,1.65,0.86,-0.573,9.12e-06,25,4.85e-05
EFHA2,3.86,2.59,1.14,0.49,-0.572,7.82e-05,25,3.25e-04
LRRC8E,2.9,4.31,0.26,0.72,0.572,2.31e-10,25,5.34e-09
SPINK2,3.7,2.49,0.91,0.44,-0.572,2.59e-05,25,1.22e-04
IGH@ /// IGHA1 /// IGHA2 /// LOC100126583,10.03,6.75,2.14,2.79,-0.57,3.85e-04,25,0.0013
ECT2,4.51,6.7,0.42,0.69,0.57,6.06e-14,25,8.50e-12
CFH,6.97,4.7,0.89,1.16,-0.569,2.96e-07,25,2.47e-06
AGPAT9,7.87,5.3,0.76,1.23,-0.569,5.40e-10,25,1.08e-08
PCDH9,3.95,2.67,0.95,0.28,-0.569,5.88e-06,25,3.31e-05
FANCB,3.29,4.88,0.24,0.83,0.569,3.65e-10,25,7.75e-09
TMOD1,4.4,2.97,1.3,0.3,-0.568,2.17e-05,25,1.04e-04
IL1A,2.58,3.82,0.31,1.52,0.568,6.06e-04,25,0.0020
CLEC10A,3.82,2.58,0.64,0.38,-0.568,1.23e-07,25,1.15e-06
TMEM140,5.7,3.84,0.62,0.46,-0.567,8.82e-12,25,3.66e-10
VLDLR,5.69,3.84,0.85,0.92,-0.566,3.68e-07,25,2.97e-06
EIF4E3,7.16,4.83,0.4,0.62,-0.566,8.58e-15,25,2.15e-12
KIAA1257,2.18,3.23,0.14,0.69,0.566,1.88e-07,25,1.65e-06
DACH1,5.49,8.12,0.6,1.44,0.565,1.25e-07,25,1.16e-06
STK31,2.58,3.81,0.27,1.31,0.565,1.93e-04,25,7.18e-04
CALB2,4.62,3.12,0.9,0.71,-0.565,3.62e-06,25,2.17e-05
TSPYL5,4.78,3.23,1.39,0.78,-0.564,2.90e-04,25,0.0010
SLC9A2,6.37,4.31,1.11,1.12,-0.563,3.01e-06,25,1.84e-05
SLC35D3,2.69,3.98,0.48,1.09,0.563,1.16e-05,25,5.98e-05
TARP /// TRGC2,5.06,3.42,1.2,0.68,-0.563,8.76e-07,25,6.30e-06
NUP62CL,3.76,5.56,0.65,0.74,0.563,7.05e-08,25,7.01e-07
TACSTD2,2.82,4.17,0.26,1.01,0.563,1.39e-06,25,9.37e-06
PMAIP1,4.69,6.93,0.64,0.92,0.562,6.52e-09,25,8.93e-08
C14orf139,6.67,4.52,0.53,0.65,-0.561,1.16e-11,25,4.48e-10
CENPK,4.41,6.5,0.86,0.67,0.561,4.42e-09,25,6.36e-08
MGP,7.5,5.09,1.49,1.38,-0.56,1.91e-05,25,9.33e-05
KIAA1549,2.7,3.97,0.14,0.42,0.56,1.71e-13,25,1.76e-11
CCNB1,5.8,8.55,1.0,0.69,0.56,1.46e-12,25,9.06e-11
LPAR1,5.48,3.72,0.31,0.57,-0.559,3.22e-12,25,1.66e-10
ATP1A2,3.66,2.49,0.75,0.14,-0.558,3.55e-08,25,3.86e-07
NMU,3.99,5.87,0.37,1.96,0.558,5.39e-05,25,2.34e-04
ASF1B,3.21,4.73,0.46,0.65,0.558,3.05e-10,25,6.68e-09
ARID3A,4.71,6.93,0.39,1.4,0.558,4.74e-07,25,3.69e-06
IGHA1,8.96,6.09,1.89,2.0,-0.558,1.11e-04,25,4.43e-04
CHST5,4.89,3.32,1.27,0.52,-0.557,3.02e-05,25,1.40e-04
TMEM171,8.74,5.94,1.72,1.54,-0.557,4.96e-06,25,2.85e-05
PGM5,4.07,2.77,0.93,0.31,-0.556,1.51e-06,25,1.01e-05
SCARA5,4.16,2.83,0.38,0.24,-0.556,4.20e-13,25,3.54e-11
SECTM1,6.09,4.14,0.92,0.86,-0.555,2.24e-08,25,2.61e-07
DSCC1,4.17,6.12,0.32,0.75,0.555,1.28e-13,25,1.43e-11
IL6R,4.49,3.05,0.42,0.31,-0.555,3.36e-13,25,2.93e-11
HOXD1,4.77,3.25,0.68,0.69,-0.555,1.47e-08,25,1.82e-07
ITGA7,5.81,3.95,1.74,0.61,-0.555,8.19e-05,25,3.39e-04
MAOB,5.18,3.53,0.91,0.7,-0.554,8.48e-07,25,6.15e-06
MELK,3.3,4.85,0.42,0.54,0.554,4.61e-11,25,1.39e-09
SLC27A5,3.89,5.71,0.78,1.49,0.554,1.19e-06,25,8.19e-06
ABCC13,3.77,2.57,0.69,0.21,-0.554,1.05e-07,25,9.97e-07
MYEOV,3.26,4.78,0.38,1.23,0.553,3.37e-06,25,2.04e-05
CDC45,3.03,4.45,0.27,0.5,0.553,1.23e-13,25,1.41e-11
MGC9913,4.75,3.24,1.45,0.54,-0.552,1.05e-04,25,4.21e-04
NT5DC2,3.87,5.67,0.51,0.77,0.552,4.26e-10,25,8.85e-09
TMPRSS3,2.54,3.72,0.24,0.68,0.552,5.00e-09,25,7.08e-08
CXCL1,6.05,8.87,0.65,1.6,0.552,2.95e-09,25,4.50e-08
NEXN,6.31,4.31,2.05,1.12,-0.551,4.45e-04,25,0.0015
AHCYL2,8.85,6.04,1.26,0.84,-0.55,6.21e-10,25,1.21e-08
CTSL2,4.35,6.37,0.82,0.99,0.55,3.22e-07,25,2.65e-06
KLF4,9.93,6.78,0.71,1.1,-0.55,2.03e-11,25,7.14e-10
EPYC,2.11,3.08,0.12,1.93,0.549,0.0236,25,0.0483
NEGR1,3.65,2.5,0.97,0.31,-0.548,1.05e-05,25,5.49e-05
CDHR2,6.57,4.49,1.29,0.92,-0.548,2.74e-06,25,1.70e-05
FILIP1,4.12,2.82,1.37,0.3,-0.548,2.25e-04,25,8.21e-04
ONECUT2,2.35,3.43,0.19,1.01,0.548,2.19e-05,25,1.05e-04
PLA2G10,8.77,6.0,1.6,1.24,-0.547,4.15e-06,25,2.45e-05
SETBP1,4.7,3.22,0.73,0.55,-0.547,1.18e-07,25,1.11e-06
KRT7,2.52,3.69,0.18,1.23,0.547,1.84e-04,25,6.91e-04
DEFA6,3.92,5.73,1.53,2.33,0.547,0.0023,25,0.0064
PPARGC1A,4.65,3.18,0.52,0.58,-0.547,8.69e-09,25,1.15e-07
C1orf115,7.43,5.09,0.91,1.0,-0.546,1.76e-08,25,2.13e-07
HAUS7 /// TREX2,3.55,5.18,0.38,0.88,0.545,6.08e-10,25,1.19e-08
MAD2L1,4.67,6.82,0.68,0.51,0.545,4.12e-15,25,1.22e-12
POU2AF1,6.42,4.4,1.5,1.46,-0.545,2.00e-04,25,7.41e-04
PF4,2.4,3.5,0.34,1.19,0.545,2.57e-04,25,9.23e-04
PSD,4.69,3.22,1.91,0.42,-0.544,0.0014,25,0.0040
HRCT1,7.42,5.09,1.25,1.13,-0.544,7.56e-09,25,1.01e-07
PRSS33,2.5,3.65,0.23,1.58,0.544,0.0013,25,0.0039
TCF21,5.36,3.67,0.72,0.57,-0.544,2.10e-08,25,2.48e-07
RCL1,3.89,5.66,0.27,0.54,0.543,5.21e-13,25,4.11e-11
DEFB1,6.98,4.79,1.42,1.98,-0.543,1.51e-04,25,5.80e-04
CENPF,5.17,7.53,0.9,0.77,0.543,4.63e-10,25,9.48e-09
HBA1 /// HBA2,9.21,6.32,1.54,1.26,-0.542,1.03e-07,25,9.79e-07
ST8SIA1,3.82,2.63,1.05,0.41,-0.542,2.59e-05,25,1.22e-04
PLCD1,7.25,4.98,0.72,0.56,-0.542,5.19e-11,25,1.53e-09
CR2,4.08,2.8,1.61,0.34,-0.542,8.21e-04,25,0.0026
KL,4.74,3.25,1.14,0.86,-0.541,3.16e-05,25,1.46e-04
ABCC2,2.68,3.89,0.21,1.07,0.541,8.11e-06,25,4.39e-05
COLEC12,6.87,4.72,0.9,1.42,-0.541,1.35e-05,25,6.86e-05
KCNIP4,3.55,2.44,1.17,0.13,-0.54,7.57e-05,25,3.15e-04
GLI3,5.36,3.69,1.35,0.87,-0.54,1.65e-04,25,6.27e-04
GRHL3,2.29,3.33,0.17,0.99,0.54,3.02e-05,25,1.40e-04
KLHDC1,4.3,2.96,0.55,0.34,-0.539,4.20e-11,25,1.29e-09
CFL2,6.43,4.42,2.09,0.76,-0.539,2.48e-04,25,8.92e-04
TTK,5.17,7.5,1.04,0.79,0.539,7.11e-09,25,9.57e-08
RBMS3,4.91,3.38,1.01,0.7,-0.539,4.55e-06,25,2.65e-05
CDC25A,3.52,5.12,0.45,0.54,0.538,1.79e-11,25,6.40e-10
HAND1,4.23,2.91,1.99,0.55,-0.538,0.0058,25,0.0142
PDE2A,3.87,2.67,0.66,0.2,-0.538,3.26e-08,25,3.61e-07
CAPN13,5.19,3.58,1.04,0.8,-0.537,5.69e-07,25,4.34e-06
KIF15,4.14,6.01,0.77,0.67,0.537,2.88e-09,25,4.40e-08
TOMM34,4.53,6.57,0.28,0.84,0.536,3.48e-12,25,1.75e-10
TGFBI,6.92,10.02,1.02,1.23,0.535,1.10e-09,25,1.95e-08
CDCA5,3.73,5.4,0.46,0.48,0.535,2.87e-14,25,5.04e-12
PTGDS,7.62,5.26,1.23,1.58,-0.534,5.57e-06,25,3.16e-05
COCH,2.88,4.18,0.34,1.19,0.534,1.99e-05,25,9.68e-05
PHOX2B,3.86,2.67,1.05,0.15,-0.534,1.86e-05,25,9.08e-05
CA12,8.87,6.13,1.18,1.09,-0.534,4.70e-08,25,4.90e-07
IGH@ /// IGHA2 /// LOC100126583,10.47,7.24,2.16,2.83,-0.533,4.83e-04,25,0.0016
